dataset,seed,kind,name,estimate,bestPerturbed,front
thermo-20y-qc,42,metric,Yasin isotope score,3014.3277211944846,4756.27343272351,5066.511724005381
thermo-20y-qc,42,diagnostic,Total features,28866.0,42526.0,41624.0
thermo-20y-qc,42,diagnostic,Shape filter would remove / %,,,
thermo-20y-qc,42,parameter,FWHM,0.030181679874658585,0.02330840213219885,0.03395144403264936
thermo-20y-qc,42,parameter,Inter sample RT tolerance,0.04613828659057617,0.015258731015054067,0.015258731015054067
thermo-20y-qc,42,parameter,MS1 noise level,5.0,3.0,3.0
thermo-20y-qc,42,parameter,MZ tolerance / m/z,0.003,0.005,0.005
thermo-20y-qc,42,parameter,MZ tolerance / ppm,7.0,15.0,15.0
thermo-20y-qc,42,parameter,Min consecutive,5.0,3.0,3.0
thermo-20y-qc,42,parameter,Min height,434925.40625,369336.25315625797,369336.25315625797
thermo-20y-qc,42,parameter,Chrom. Threshold,0.85,0.915067331305756,0.915067331305756
thermo-20y-qc,42,parameter,Top-to-edge ratio,1.7,1.5,1.5
zenotof-feces-pos,42,metric,Yasin isotope score,15420.158015124638,27724.1422058639,31248.57086504224
zenotof-feces-pos,42,diagnostic,Total features,21422.0,23909.0,28646.0
zenotof-feces-pos,42,diagnostic,Shape filter would remove / %,,,
zenotof-feces-pos,42,parameter,FWHM,0.04732702486217022,0.05757099618150629,0.03671058452781419
zenotof-feces-pos,42,parameter,Inter sample RT tolerance,0.02121567726135254,0.031148034637729676,0.04304138811014001
zenotof-feces-pos,42,parameter,MS1 noise level,7.0,7.0,7.0
zenotof-feces-pos,42,parameter,MZ tolerance / m/z,0.003,0.008,0.005
zenotof-feces-pos,42,parameter,MZ tolerance / ppm,7.0,15.0,15.0
zenotof-feces-pos,42,parameter,Min consecutive,6.0,10.0,7.0
zenotof-feces-pos,42,parameter,Min height,198.0,152.07901562168982,142.9949245582531
zenotof-feces-pos,42,parameter,Chrom. Threshold,0.85,0.7117064142680194,0.9001596435788453
zenotof-feces-pos,42,parameter,Top-to-edge ratio,1.7,1.5,1.953508930317037
